term_str,n,n_chars,p,i,max_pos,max_pos_group,stem_porter,stop
,976,0,0.0011324016545130732,9.786398522432192,NN,NN,,0
1,4,1,4.64099038734866e-06,17.71713585999508,NN,NN,1,0
10,2,2,2.32049519367433e-06,18.71713585999508,JJ,NN,10,0
1030,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1030,0
10th,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,10th,0
112,1,3,1.160247596837165e-06,19.71713585999508,CD,CD,112,0
1215,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1215,0
12th,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,12th,0
1397,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1397,0
1580,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1580,0
1586,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1586,0
1588,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1588,0
16,1,2,1.160247596837165e-06,19.71713585999508,PDT,PD,16,0
1660,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1660,0
1697,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1697,0
16th,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,16th,0
17,1,2,1.160247596837165e-06,19.71713585999508,CD,CD,17,0
1712,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1712,0
17250,1,5,1.160247596837165e-06,19.71713585999508,CD,CD,17250,0
1750,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1750,0
1760,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1760,0
1780,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1780,0
17th,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,17th,0
18,1,2,1.160247596837165e-06,19.71713585999508,CD,CD,18,0
1816,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1816,0
1833,2,4,2.32049519367433e-06,18.71713585999508,CD,CD,1833,0
1835,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1835,0
1842,8,4,9.28198077469732e-06,16.71713585999508,CD,CD,1842,0
1845,2,4,2.32049519367433e-06,18.71713585999508,CD,CD,1845,0
1846,7,4,8.121733177860155e-06,16.909780937937473,CD,CD,1846,0
1847,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1847,0
1849,2,4,2.32049519367433e-06,18.71713585999508,CD,CD,1849,0
1850,3,4,3.4807427905114952e-06,18.13217335927392,CD,CD,1850,0
1852,4,4,4.64099038734866e-06,17.71713585999508,CD,CD,1852,0
1853,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1853,0
1854,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1854,0
1855,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1855,0
1858,1,4,1.160247596837165e-06,19.71713585999508,NNP,NN,1858,0
1859,2,4,2.32049519367433e-06,18.71713585999508,CD,CD,1859,0
1860,3,4,3.4807427905114952e-06,18.13217335927392,CD,CD,1860,0
1862,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1862,0
1870,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1870,0
1875,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1875,0
1878,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1878,0
1880,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1880,0
1884,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1884,0
1895,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1895,0
1897,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1897,0
18th,3,4,3.4807427905114952e-06,18.13217335927392,CD,CD,18th,0
1906,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1906,0
1918,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1918,0
1922,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1922,0
1923,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1923,0
1927,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,1927,0
1928,2,4,2.32049519367433e-06,18.71713585999508,CD,CD,1928,0
1939,3,4,3.4807427905114952e-06,18.13217335927392,CD,CD,1939,0
1st,3,3,3.4807427905114952e-06,18.13217335927392,CD,CD,1st,0
2,8,1,9.28198077469732e-06,16.71713585999508,CD,CD,2,0
20,1,2,1.160247596837165e-06,19.71713585999508,JJ,JJ,20,0
20th,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,20th,0
21st,3,4,3.4807427905114952e-06,18.13217335927392,CD,CD,21st,0
23,1,2,1.160247596837165e-06,19.71713585999508,CD,CD,23,0
25,1,2,1.160247596837165e-06,19.71713585999508,CD,CD,25,0
26th,1,4,1.160247596837165e-06,19.71713585999508,CD,CD,26th,0
2nd,1,3,1.160247596837165e-06,19.71713585999508,JJ,JJ,2nd,0
3,5,1,5.801237984185826e-06,17.395207765107717,CD,CD,3,0
310,2,3,2.32049519367433e-06,18.71713585999508,CD,CD,310,0
365,1,3,1.160247596837165e-06,19.71713585999508,CD,CD,365,0
38,1,2,1.160247596837165e-06,19.71713585999508,CD,CD,38,0
3rd,1,3,1.160247596837165e-06,19.71713585999508,CD,CD,3rd,0
4,2,1,2.32049519367433e-06,18.71713585999508,JJ,NN,4,0
40885,1,5,1.160247596837165e-06,19.71713585999508,CD,CD,40885,0
42,1,2,1.160247596837165e-06,19.71713585999508,CD,CD,42,0
43,1,2,1.160247596837165e-06,19.71713585999508,CD,CD,43,0
5,2,1,2.32049519367433e-06,18.71713585999508,IN,IN,5,0
50,3,2,3.4807427905114952e-06,18.13217335927392,CD,CD,50,0
5th,1,3,1.160247596837165e-06,19.71713585999508,CD,CD,5th,0
6,5,1,5.801237984185826e-06,17.395207765107717,CD,CD,6,0
60,1,2,1.160247596837165e-06,19.71713585999508,CD,CD,60,0
66,1,2,1.160247596837165e-06,19.71713585999508,CD,CD,66,0
7,2,1,2.32049519367433e-06,18.71713585999508,JJ,NN,7,0
8,3,1,3.4807427905114952e-06,18.13217335927392,NN,NN,8,0
830,1,3,1.160247596837165e-06,19.71713585999508,CD,CD,830,0
85,1,2,1.160247596837165e-06,19.71713585999508,CD,CD,85,0
8th,1,3,1.160247596837165e-06,19.71713585999508,CD,CD,8th,0
9,2,1,2.32049519367433e-06,18.71713585999508,NN,NN,9,0
93,1,2,1.160247596837165e-06,19.71713585999508,CD,CD,93,0
948,1,3,1.160247596837165e-06,19.71713585999508,CD,CD,948,0
a,18936,1,0.021970448493708557,5.508291869260463,DT,DT,a,1
aarhorn,2,7,2.32049519367433e-06,18.71713585999508,NNP,NN,aarhorn,0
aback,9,5,1.0442228371534485e-05,16.547210858552766,NN,NN,aback,0
abandoned,4,9,4.64099038734866e-06,17.71713585999508,VBN,VB,abandon,0
abandonment,13,11,1.5083218758883146e-05,16.016696141853984,NN,NN,abandon,0
abandonments,1,12,1.160247596837165e-06,19.71713585999508,NN,NN,abandon,0
abase,1,5,1.160247596837165e-06,19.71713585999508,VB,VB,abas,0
abasement,2,9,2.32049519367433e-06,18.71713585999508,NN,NN,abas,0
abases,1,6,1.160247596837165e-06,19.71713585999508,VBZ,VB,abas,0
abashed,1,7,1.160247596837165e-06,19.71713585999508,NN,NN,abash,0
abate,1,5,1.160247596837165e-06,19.71713585999508,VB,VB,abat,0
abating,1,7,1.160247596837165e-06,19.71713585999508,JJ,JJ,abat,0
abbess,1,6,1.160247596837165e-06,19.71713585999508,NN,NN,abbess,0
abbesses,1,8,1.160247596837165e-06,19.71713585999508,NNP,NN,abbess,0
abbey,19,5,2.2044704339906136e-05,15.469208346551493,NNP,NN,abbey,0
abc,13,3,1.5083218758883146e-05,16.016696141853984,NNP,NN,abc,0
abdomen,1,7,1.160247596837165e-06,19.71713585999508,RB,RB,abdomen,0
abel,22,4,2.5525447130417632e-05,15.25770424135778,NNP,NN,abel,0
abercorn,20,8,2.3204951936743303e-05,15.395207765107715,NNP,NN,abercorn,0
aberdeen,2,8,2.32049519367433e-06,18.71713585999508,NNP,NN,aberdeen,0
aberdour,1,8,1.160247596837165e-06,19.71713585999508,NNP,NN,aberdour,0
aberrations,1,11,1.160247596837165e-06,19.71713585999508,NNS,NN,aberr,0
abeyance,2,8,2.32049519367433e-06,18.71713585999508,NN,NN,abey,0
abhor,1,5,1.160247596837165e-06,19.71713585999508,VBP,VB,abhor,0
abhorred,2,8,2.32049519367433e-06,18.71713585999508,VBD,VB,abhor,0
abhorrent,1,9,1.160247596837165e-06,19.71713585999508,JJ,JJ,abhorr,0
abide,3,5,3.4807427905114952e-06,18.13217335927392,VB,VB,abid,0
abilities,3,9,3.4807427905114952e-06,18.13217335927392,NN,NN,abil,0
ability,5,7,5.801237984185826e-06,17.395207765107717,NN,NN,abil,0
abject,2,6,2.32049519367433e-06,18.71713585999508,VB,VB,abject,0
ablative,1,8,1.160247596837165e-06,19.71713585999508,NN,NN,abl,0
ablaze,3,6,3.4807427905114952e-06,18.13217335927392,NN,NN,ablaz,0
able,114,4,0.00013226822603943682,12.884245845830337,JJ,JJ,abl,0
ablest,3,6,3.4807427905114952e-06,18.13217335927392,JJS,JJ,ablest,0
abloom,3,6,3.4807427905114952e-06,18.13217335927392,NN,NN,abloom,0
ably,1,4,1.160247596837165e-06,19.71713585999508,RB,RB,abli,0
abnegation,1,10,1.160247596837165e-06,19.71713585999508,NN,NN,abneg,0
abnormal,1,8,1.160247596837165e-06,19.71713585999508,JJ,JJ,abnorm,0
abnormally,2,10,2.32049519367433e-06,18.71713585999508,RB,RB,abnorm,0
aboard,2,6,2.32049519367433e-06,18.71713585999508,NN,NN,aboard,0
abolish,4,7,4.64099038734866e-06,17.71713585999508,VB,VB,abolish,0
abolished,5,9,5.801237984185826e-06,17.395207765107717,JJ,VB,abolish,0
abominable,3,10,3.4807427905114952e-06,18.13217335927392,JJ,JJ,abomin,0
abomination,1,11,1.160247596837165e-06,19.71713585999508,NN,NN,abomin,0
abortive,2,8,2.32049519367433e-06,18.71713585999508,JJ,NN,abort,0
abounded,4,8,4.64099038734866e-06,17.71713585999508,VBP,VB,abound,0
abounds,1,7,1.160247596837165e-06,19.71713585999508,VBP,VB,abound,0
about,1978,5,0.0022949697465439126,8.767309149235967,IN,IN,about,1
above,256,5,0.00029702338479031424,11.717135859995079,IN,IN,abov,1
abraded,2,7,2.32049519367433e-06,18.71713585999508,VBN,VB,abrad,0
abrades,1,7,1.160247596837165e-06,19.71713585999508,IN,IN,abrad,0
abrading,1,8,1.160247596837165e-06,19.71713585999508,VBG,VB,abrad,0
abrahamson,2,10,2.32049519367433e-06,18.71713585999508,NNP,NN,abrahamson,0
abreast,4,7,4.64099038734866e-06,17.71713585999508,NN,NN,abreast,0
abroad,16,6,1.856396154939464e-05,15.717135859995079,RB,RB,abroad,0
abrupt,19,6,2.2044704339906136e-05,15.469208346551493,JJ,JJ,abrupt,0
abruptly,53,8,6.149312263236974e-05,13.98921540543188,NN,NN,abruptli,0
abruptness,5,10,5.801237984185826e-06,17.395207765107717,NN,NN,abrupt,0
absence,31,7,3.5967675501952114e-05,14.762939549608204,NN,NN,absenc,0
absences,2,8,2.32049519367433e-06,18.71713585999508,NNS,NN,absenc,0
absent,34,6,3.944841829246361e-05,14.62967301874474,JJ,JJ,absent,0
absentees,1,9,1.160247596837165e-06,19.71713585999508,NNS,NN,absente,0
absently,1,8,1.160247596837165e-06,19.71713585999508,RB,RB,absent,0
absentminded,2,12,2.32049519367433e-06,18.71713585999508,VBN,VB,absentmind,0
absentmindedly,6,14,6.9614855810229905e-06,17.13217335927392,NN,NN,absentmindedli,0
absentmindedness,1,16,1.160247596837165e-06,19.71713585999508,NN,NN,absentminded,0
absolute,15,8,1.7403713952557477e-05,15.810245264386559,JJ,JJ,absolut,0
absolutely,48,10,5.5691884648183924e-05,14.132173359273922,RB,RB,absolut,0
absolution,2,10,2.32049519367433e-06,18.71713585999508,NN,NN,absolut,0
absorb,2,6,2.32049519367433e-06,18.71713585999508,VB,VB,absorb,0
absorbed,57,8,6.613411301971841e-05,13.884245845830337,VBN,VB,absorb,0
absorbedly,1,10,1.160247596837165e-06,19.71713585999508,NN,NN,absorbedli,0
absorbent,1,9,1.160247596837165e-06,19.71713585999508,JJ,JJ,absorb,0
absorbing,15,9,1.7403713952557477e-05,15.810245264386559,VBG,VB,absorb,0
absorbs,1,7,1.160247596837165e-06,19.71713585999508,RB,RB,absorb,0
absorption,9,10,1.0442228371534485e-05,16.547210858552766,NN,NN,absorpt,0
abstain,2,7,2.32049519367433e-06,18.71713585999508,VB,VB,abstain,0
abstemious,1,10,1.160247596837165e-06,19.71713585999508,JJ,JJ,abstemi,0
abstinence,2,10,2.32049519367433e-06,18.71713585999508,NN,NN,abstin,0
abstract,22,8,2.5525447130417632e-05,15.25770424135778,JJ,JJ,abstract,0
abstracted,2,10,2.32049519367433e-06,18.71713585999508,VBD,VB,abstract,0
abstractedly,5,12,5.801237984185826e-06,17.395207765107717,NN,VB,abstractedli,0
