term_str,n,n_chars,p,i,max_pos,max_pos_group,stem_porter,stop,df,idf,dfidf
1,4,1,4.646251810586252e-06,17.715501224036807,NN,NN,1,0,4,5.7073591320808825,22.82943652832353
10,2,2,2.323125905293126e-06,18.715501224036807,JJ,NN,10,0,1,7.7073591320808825,7.7073591320808825
1030,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1030,0,1,7.7073591320808825,7.7073591320808825
10th,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,10th,0,1,7.7073591320808825,7.7073591320808825
112,1,3,1.161562952646563e-06,19.715501224036807,CD,CD,112,0,1,7.7073591320808825,7.7073591320808825
1215,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1215,0,1,7.7073591320808825,7.7073591320808825
12th,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,12th,0,1,7.7073591320808825,7.7073591320808825
1397,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1397,0,1,7.7073591320808825,7.7073591320808825
1580,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1580,0,1,7.7073591320808825,7.7073591320808825
1586,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1586,0,1,7.7073591320808825,7.7073591320808825
1588,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1588,0,1,7.7073591320808825,7.7073591320808825
16,1,2,1.161562952646563e-06,19.715501224036807,PDT,PD,16,0,1,7.7073591320808825,7.7073591320808825
1660,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1660,0,1,7.7073591320808825,7.7073591320808825
1697,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1697,0,1,7.7073591320808825,7.7073591320808825
16th,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,16th,0,1,7.7073591320808825,7.7073591320808825
17,1,2,1.161562952646563e-06,19.715501224036807,CD,CD,17,0,1,7.7073591320808825,7.7073591320808825
1712,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1712,0,1,7.7073591320808825,7.7073591320808825
17250,1,5,1.161562952646563e-06,19.715501224036807,CD,CD,17250,0,1,7.7073591320808825,7.7073591320808825
1750,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1750,0,1,7.7073591320808825,7.7073591320808825
1760,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1760,0,1,7.7073591320808825,7.7073591320808825
1780,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1780,0,1,7.7073591320808825,7.7073591320808825
17th,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,17th,0,1,7.7073591320808825,7.7073591320808825
18,1,2,1.161562952646563e-06,19.715501224036807,CD,CD,18,0,1,7.7073591320808825,7.7073591320808825
1816,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1816,0,1,7.7073591320808825,7.7073591320808825
1833,2,4,2.323125905293126e-06,18.715501224036807,CD,CD,1833,0,1,7.7073591320808825,7.7073591320808825
1835,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1835,0,1,7.7073591320808825,7.7073591320808825
1842,8,4,9.292503621172504e-06,16.715501224036807,CD,CD,1842,0,2,6.7073591320808825,13.414718264161765
1845,2,4,2.323125905293126e-06,18.715501224036807,CD,CD,1845,0,1,7.7073591320808825,7.7073591320808825
1846,7,4,8.130940668525942e-06,16.908146301979205,CD,CD,1846,0,4,5.7073591320808825,22.82943652832353
1847,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1847,0,1,7.7073591320808825,7.7073591320808825
1849,2,4,2.323125905293126e-06,18.715501224036807,CD,CD,1849,0,2,6.7073591320808825,13.414718264161765
1850,3,4,3.4846888579396894e-06,18.130538723315652,CD,CD,1850,0,1,7.7073591320808825,7.7073591320808825
1852,4,4,4.646251810586252e-06,17.715501224036807,CD,CD,1852,0,3,6.1223966313597264,18.36718989407918
1853,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1853,0,1,7.7073591320808825,7.7073591320808825
1854,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1854,0,1,7.7073591320808825,7.7073591320808825
1855,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1855,0,1,7.7073591320808825,7.7073591320808825
1858,1,4,1.161562952646563e-06,19.715501224036807,NNP,NN,1858,0,1,7.7073591320808825,7.7073591320808825
1859,2,4,2.323125905293126e-06,18.715501224036807,CD,CD,1859,0,1,7.7073591320808825,7.7073591320808825
1860,3,4,3.4846888579396894e-06,18.130538723315652,CD,CD,1860,0,3,6.1223966313597264,18.36718989407918
1862,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1862,0,1,7.7073591320808825,7.7073591320808825
1870,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1870,0,1,7.7073591320808825,7.7073591320808825
1875,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1875,0,1,7.7073591320808825,7.7073591320808825
1878,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1878,0,1,7.7073591320808825,7.7073591320808825
1880,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1880,0,1,7.7073591320808825,7.7073591320808825
1884,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1884,0,1,7.7073591320808825,7.7073591320808825
1895,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1895,0,1,7.7073591320808825,7.7073591320808825
1897,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1897,0,1,7.7073591320808825,7.7073591320808825
18th,3,4,3.4846888579396894e-06,18.130538723315652,CD,CD,18th,0,3,6.1223966313597264,18.36718989407918
1906,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1906,0,1,7.7073591320808825,7.7073591320808825
1918,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1918,0,1,7.7073591320808825,7.7073591320808825
1922,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1922,0,1,7.7073591320808825,7.7073591320808825
1923,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1923,0,1,7.7073591320808825,7.7073591320808825
1927,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,1927,0,1,7.7073591320808825,7.7073591320808825
1928,2,4,2.323125905293126e-06,18.715501224036807,CD,CD,1928,0,1,7.7073591320808825,7.7073591320808825
1939,3,4,3.4846888579396894e-06,18.130538723315652,CD,CD,1939,0,3,6.1223966313597264,18.36718989407918
1st,3,3,3.4846888579396894e-06,18.130538723315652,CD,CD,1st,0,3,6.1223966313597264,18.36718989407918
2,8,1,9.292503621172504e-06,16.715501224036807,CD,CD,2,0,4,5.7073591320808825,22.82943652832353
20,1,2,1.161562952646563e-06,19.715501224036807,JJ,JJ,20,0,1,7.7073591320808825,7.7073591320808825
20th,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,20th,0,1,7.7073591320808825,7.7073591320808825
21st,3,4,3.4846888579396894e-06,18.130538723315652,CD,CD,21st,0,1,7.7073591320808825,7.7073591320808825
23,1,2,1.161562952646563e-06,19.715501224036807,CD,CD,23,0,1,7.7073591320808825,7.7073591320808825
25,1,2,1.161562952646563e-06,19.715501224036807,CD,CD,25,0,1,7.7073591320808825,7.7073591320808825
26th,1,4,1.161562952646563e-06,19.715501224036807,CD,CD,26th,0,1,7.7073591320808825,7.7073591320808825
2nd,1,3,1.161562952646563e-06,19.715501224036807,JJ,JJ,2nd,0,1,7.7073591320808825,7.7073591320808825
3,5,1,5.8078147632328155e-06,17.393573129149445,CD,CD,3,0,5,5.38543103719352,26.9271551859676
310,2,3,2.323125905293126e-06,18.715501224036807,CD,CD,310,0,1,7.7073591320808825,7.7073591320808825
365,1,3,1.161562952646563e-06,19.715501224036807,CD,CD,365,0,1,7.7073591320808825,7.7073591320808825
38,1,2,1.161562952646563e-06,19.715501224036807,CD,CD,38,0,1,7.7073591320808825,7.7073591320808825
3rd,1,3,1.161562952646563e-06,19.715501224036807,CD,CD,3rd,0,1,7.7073591320808825,7.7073591320808825
4,2,1,2.323125905293126e-06,18.715501224036807,JJ,NN,4,0,2,6.7073591320808825,13.414718264161765
40885,1,5,1.161562952646563e-06,19.715501224036807,CD,CD,40885,0,1,7.7073591320808825,7.7073591320808825
42,1,2,1.161562952646563e-06,19.715501224036807,CD,CD,42,0,1,7.7073591320808825,7.7073591320808825
43,1,2,1.161562952646563e-06,19.715501224036807,CD,CD,43,0,1,7.7073591320808825,7.7073591320808825
5,2,1,2.323125905293126e-06,18.715501224036807,IN,IN,5,0,2,6.7073591320808825,13.414718264161765
50,3,2,3.4846888579396894e-06,18.130538723315652,CD,CD,50,0,3,6.1223966313597264,18.36718989407918
5th,1,3,1.161562952646563e-06,19.715501224036807,CD,CD,5th,0,1,7.7073591320808825,7.7073591320808825
6,5,1,5.8078147632328155e-06,17.393573129149445,CD,CD,6,0,4,5.7073591320808825,22.82943652832353
60,1,2,1.161562952646563e-06,19.715501224036807,CD,CD,60,0,1,7.7073591320808825,7.7073591320808825
66,1,2,1.161562952646563e-06,19.715501224036807,CD,CD,66,0,1,7.7073591320808825,7.7073591320808825
7,2,1,2.323125905293126e-06,18.715501224036807,JJ,NN,7,0,2,6.7073591320808825,13.414718264161765
8,3,1,3.4846888579396894e-06,18.130538723315652,NN,NN,8,0,3,6.1223966313597264,18.36718989407918
