term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
about,0.033588737,-0.019129388,-0.028558694,0.03851989,0.12773651,-0.10742707,0.0061963,0.20915042,-0.12347934,0.14531979,-0.07021279,-0.05130917,0.015175896,0.12411673,-0.06513378,-0.121448494,-0.072824486,0.06925407,-0.018701447,-0.22280706,0.0040022912,-0.1260835,0.06715455,-0.07760627,0.012660842,-0.1259464,0.036675103,-0.016026106,-0.10354836,-0.04456257,0.100961246,0.0001641293,0.056585263,0.028474389,-0.011284802,0.071735725,0.12835707,-0.027481917,-0.1103509,-0.10929239,-0.052231096,0.0320131,-0.0012639511,0.07149065,0.14099042,0.07590203,-0.08191775,-0.04977794,0.086535834,0.069149904,0.06456593,-0.0043077264,-0.14605321,-0.07538112,-0.023479063,-0.03661139,0.015932493,-0.07055991,-0.124317616,-0.035239812,-0.00030380802,-0.08860689,-0.020953,-0.031271923,-0.114445925,-0.0018142586,-0.006703525,0.19686288,-0.10861616,0.122049905,0.028329695,0.03779911,0.11534143,0.038958766,0.031088648,-0.028548727,0.16572438,-0.14673626,-0.13253532,0.0820129,-0.05422332,-0.0036849706,-0.13454248,0.2682436,-0.088155344,-0.023154836,-0.028054927,0.13529234,0.056464493,-0.0233614,0.04645972,0.17902279,0.12616602,0.0932789,0.23570746,0.16244107,0.0726431,-0.08966203,0.1103865,0.03913506,-0.16064069,0.16147804,0.117758326,-0.07017511,-0.079703666,-0.12765464,0.08351245,0.15754755,-0.0024690274,-0.25680757,0.07785757,-0.10265204,0.03788338,-0.057544373,0.051318705,0.007944352,0.0484383,-0.20365342,-0.075481445,-0.05193564,0.031095784,0.15243623,0.0699045,-0.049073968,-0.06261719,0.024569267,-0.083920375,-0.061193936,-0.016946675,-0.020386625,0.044095498,0.016703723,-0.06671117,-0.096526116,-0.036678784,0.05222492,-0.03792138,-0.13021249,-0.12411214,-0.17555653,0.14627582,-0.17014289,-0.024796113,-0.016991312,-0.0937203,-0.13425516,-0.029729344,0.08752124,0.008951562,0.042678066,0.10895015,-0.17266954,-0.007684836,0.0809871,-0.14978643,0.18061337,0.124032155,0.12049771,-0.072784156,0.05292097,0.08932296,0.16356528,-0.06782843,-0.05950277,-0.120029755,0.04639829,0.12260995,-0.09571402,-0.0056490935,0.03714721,-0.079304345,0.037177537,0.00753441,-0.046636503,0.074191436,0.02275956,-0.12863638,0.030337734,0.04195206,0.015173221,-0.08464781,0.11396657,-0.009448992,0.100389384,0.10203043,0.09907035,-0.08471479,0.12851946,0.25308725,0.031127593,0.056704603,-0.066358276,-0.040287312,-0.107058726,0.056230195,0.029669188,0.06858099,-0.17591596,0.04331312,-0.11682813
added,0.13282637,-0.03640222,-0.050703887,0.06958286,0.20839627,-0.04714752,-0.073576085,0.32593182,-0.09628156,0.16010997,-0.19616427,-0.23435016,0.058401357,0.1682276,-0.16754945,-0.20261197,-0.008167056,-0.00766852,0.017337326,-0.27516037,0.059264604,-0.16558565,0.09193019,-0.024753472,0.08203606,-0.15096854,0.027466103,-0.06614846,-0.051162608,0.048865795,0.18137348,0.07421709,0.04934449,-0.013059001,0.0009894642,0.13541913,0.077943765,-0.14803725,-0.02509439,-0.11227678,-0.19960883,0.14339492,-0.08553576,0.030862747,0.21817409,0.080216095,-0.1184094,0.065712385,0.086342186,-0.0044141645,0.109025456,-0.14446676,-0.058274668,-0.046800558,0.0532945,-0.06983744,0.033607237,-0.07741323,-0.11345305,-0.06403545,0.025496373,-0.082854666,-0.07259469,-0.036254253,-0.23857129,-0.034854263,-0.027837526,0.2842097,-0.1481854,0.18444034,0.023613265,0.03339884,0.19391288,-0.09450856,-0.012648475,-0.023665762,0.10230993,-0.22658446,-0.12753557,0.025253862,-0.075747386,-0.051986143,-0.13098581,0.30844244,-0.12421613,-0.06892859,0.06328878,0.21038711,0.028785305,-0.07526491,0.050901722,0.2180587,0.12038481,0.10356872,0.30603847,0.14289619,0.036771055,-0.090477385,0.14160281,0.0071793664,-0.25270918,0.2497874,0.20948054,-0.14331119,-0.087912366,-0.10115634,0.052446146,0.13581893,-0.05452524,-0.22194265,0.020039313,-0.2022882,0.049187113,-0.14657553,0.08775787,0.005298378,0.106590725,-0.27715564,0.045670614,-0.1209399,0.025811227,0.20466107,0.010416222,0.04938597,-0.12424381,0.11971441,-0.106064714,-0.040635694,0.08946485,-0.047520097,0.07036614,0.0021965788,-0.08761808,-0.07884862,-0.11264663,0.008875518,-0.055624813,-0.1232752,-0.0885061,-0.32289207,0.10370651,-0.30429357,0.027608313,-0.06562116,-0.049141835,-0.1276669,-0.06289999,0.16957065,-0.04143149,0.00010094284,0.05998823,-0.20190582,-0.0140296975,0.0711233,-0.17129423,0.1237169,0.16876255,0.08014151,-0.05951946,0.050302714,0.24034576,0.09703571,-0.024052754,-0.06234095,-0.047976837,0.035245754,0.042407982,-0.13633458,-0.17263164,0.0004489095,-0.14714101,0.11987712,0.0112918075,-0.061713144,0.18416202,0.08415371,-0.10067391,0.12729686,0.029860595,-0.025620533,-0.017426686,0.09712917,-0.046334963,0.17754562,0.10299843,0.12424431,-0.00044668268,0.14821334,0.23102115,0.09005855,0.077851795,0.022780465,-0.009780496,0.04253348,0.054133214,0.107461624,0.0902735,-0.04016149,0.111072265,-0.14731626
afternoon,-0.012539776,-0.043393377,-0.0038526612,0.025809105,0.12774557,-0.11119471,0.0022226865,0.18957415,-0.12953374,0.16655633,-0.025251692,-0.009008135,-0.019876681,0.12837806,-0.048135947,-0.10573195,-0.10073284,0.09022648,-0.041571934,-0.20035648,-0.012573126,-0.14080456,0.07381133,-0.076921515,-0.011836591,-0.12829638,0.05064804,0.0017188077,-0.13117737,-0.0888715,0.094775945,-0.013435166,0.059003174,0.038566906,-0.019182073,0.038573567,0.13741124,0.00385506,-0.12583175,-0.10930968,-0.029405046,-0.016304648,0.021251762,0.07068397,0.10633537,0.082704015,-0.06988487,-0.084739506,0.089181736,0.104106836,0.02844899,0.028896466,-0.17403832,-0.08385503,-0.059191886,-0.0039560166,0.027543154,-0.06522731,-0.13562873,-0.022983838,-0.016422356,-0.1020335,-0.0037498823,-0.023524277,-0.08408593,-0.0010951647,-0.0006615347,0.20142218,-0.09400884,0.10405053,0.025179576,0.03988634,0.09443596,0.072555035,0.05563531,-0.069096364,0.1951805,-0.15163706,-0.116036154,0.08721871,-0.042443484,-0.016158534,-0.16190681,0.25421196,-0.09168656,-0.0335276,-0.060764395,0.13239643,0.062860325,-0.016787665,0.05447664,0.19286886,0.13345106,0.101411656,0.22510916,0.17004196,0.063487284,-0.08057819,0.09881484,0.040784378,-0.13563973,0.13841571,0.08912322,-0.06088258,-0.047809295,-0.10988304,0.09778104,0.154655,0.0031192007,-0.27595347,0.07296852,-0.063559115,0.043761756,-0.030775836,0.042596098,0.0038965023,0.020202778,-0.17335367,-0.10687706,-0.05272751,0.048213262,0.16330397,0.090920284,-0.073695965,-0.04570475,-0.003527856,-0.07554221,-0.08108008,-0.04917574,-0.009938277,0.02828164,0.024676798,-0.06501439,-0.10866792,0.0073780953,0.080685444,-0.034402553,-0.10303422,-0.10726271,-0.13282438,0.15699877,-0.15606782,-0.017548172,-0.003002625,-0.09276859,-0.13668922,-0.02163563,0.060083695,0.017174432,0.054540887,0.1055775,-0.16776636,-0.012171483,0.07972202,-0.12705259,0.18790694,0.08854717,0.12263478,-0.075698495,0.061861034,0.05081736,0.18254322,-0.069002315,-0.05776504,-0.13881348,0.032100465,0.13828178,-0.07207508,0.049925976,0.05195258,-0.04917678,-0.009483089,0.023180135,-0.037646584,0.037898604,0.0014505469,-0.12826663,0.0135333985,0.059988637,0.028201075,-0.072615154,0.12597513,-0.0070027434,0.061957188,0.10964116,0.0838188,-0.08847349,0.13466305,0.2432297,0.002526101,0.052349463,-0.09525923,-0.01911665,-0.14308937,0.06702929,0.019004084,0.058416348,-0.18940322,0.039160077,-0.1244888
again,-0.03699416,-0.014297407,0.0076550916,0.04452718,0.15243398,-0.18702684,-0.007399791,0.17628305,-0.14844239,0.22533114,-0.037255246,0.029062582,-0.025406662,0.121979624,0.0069068023,-0.15870415,-0.11688728,0.10501425,-0.08739883,-0.20874692,-0.034256075,-0.17787345,0.07764418,-0.09758047,-0.05819397,-0.18751252,0.041632287,0.08663206,-0.16210859,-0.08407554,0.1077907,-0.025675109,0.0660817,0.061197594,-0.05455733,-0.018608833,0.17347114,0.05572095,-0.07509342,-0.08420931,-0.015914202,0.014911119,0.039795734,0.09511001,0.05174422,0.08309937,-0.037644494,-0.09719267,0.09793791,0.118783735,0.030896978,0.11027945,-0.20037101,-0.13308345,-0.088086806,-0.027906898,0.037901103,-0.017645415,-0.16514383,-0.015047388,-0.021641325,-0.13034669,-0.005590589,-0.058247596,-0.044145737,0.0069371844,0.08959954,0.18625273,-0.10066079,0.105756156,0.029600503,-0.0006968663,0.094696045,0.08629362,0.05015826,-0.01749567,0.21378957,-0.13178268,-0.16163881,0.12688491,-0.027684154,0.012634951,-0.15233393,0.30505472,-0.06274056,-0.020110503,-0.10565839,0.12639588,0.086239636,-0.019309785,0.053679388,0.19278157,0.10268149,0.053161114,0.23102334,0.15747592,0.078651085,-0.03646716,0.11720971,0.027855445,-0.16580525,0.13773699,0.010520862,-0.045257382,-0.037610713,-0.14495194,0.03613471,0.14772779,0.04261022,-0.24798043,0.1024354,-0.05485507,0.008496668,0.012920719,0.021940256,0.051065184,0.028495673,-0.1517358,-0.15807787,-0.0029211733,0.048399065,0.18023588,0.10898044,-0.09868632,0.014281894,-0.05440892,-0.04128788,-0.085843466,-0.063513584,0.019364202,0.040995385,0.013176574,-0.050475907,-0.09094529,0.03530889,0.043689054,-0.011743362,-0.11931955,-0.08774931,-0.09855984,0.13151808,-0.09629126,-0.018479284,0.012291988,-0.07690607,-0.091058984,0.024286639,0.06794311,-0.012827848,0.10103921,0.06659092,-0.15157259,-0.06743351,0.13668782,-0.147535,0.22965762,0.04679665,0.07001082,-0.097713135,0.028176654,0.061333098,0.22476272,-0.050405435,-0.071015455,-0.13804899,-0.0045315223,0.16295658,-0.08062406,0.054948628,0.10095098,-0.021192132,-0.018262971,-0.010411373,-0.06332758,-0.050811913,-0.033449933,-0.16331719,0.0109907985,0.053406257,0.01259132,-0.06916647,0.078465275,-0.007156416,0.05156639,0.09026111,0.047883783,-0.16580562,0.15703322,0.24016291,0.0027795478,0.039518423,-0.12295392,-0.064405575,-0.16841413,0.039431434,0.0005303577,0.06326782,-0.188524,-0.012027709,-0.0838266
age,0.02903377,-0.116475396,-0.093501985,-0.012495824,0.1409677,-0.050831493,-0.021793347,0.33117896,-0.081928484,0.06923566,-0.07367005,-0.11137406,0.060632925,0.1309678,-0.15229388,-0.17140278,0.02744688,0.05640085,0.04890207,-0.2650046,-0.006841606,-0.07951106,0.021194814,-0.050127327,0.103877984,-0.059948847,0.049260143,-0.11149747,-0.07093968,-0.033895567,0.10023699,0.06122299,0.035997193,-0.073998205,-0.052181892,0.116363294,0.051689968,-0.089721985,-0.11890987,-0.16303101,-0.11752656,0.008113217,-0.021348178,0.030189872,0.20852661,0.08065577,-0.07895307,-0.004713173,0.07340743,0.09731317,0.06762021,-0.11741733,-0.170592,-0.036648646,-0.029734483,-0.055802252,-0.00050159753,-0.111339375,-0.09507476,-0.017873758,-0.038996596,-0.046611372,-0.008838575,-0.008177665,-0.27404156,0.0665191,-0.07838342,0.26216996,-0.09840264,0.16402611,0.10326539,0.1552473,0.1677141,0.0010628025,0.057793126,-0.01120952,0.19646953,-0.17017873,-0.15240619,-0.0062407483,-0.06967497,-0.0598305,-0.14375098,0.2360426,-0.09961682,-0.032819442,0.051546663,0.062581405,0.045790676,0.05134569,0.03874397,0.15135753,0.20194763,0.14894247,0.26269147,0.16719896,0.0782507,-0.11323873,0.1428091,0.039994005,-0.16288297,0.23684378,0.1710375,-0.07308554,-0.0657659,-0.09893922,0.14687264,0.20655859,-0.042289115,-0.27290234,0.05023748,-0.060568772,0.07693648,-0.15559112,0.09852235,-0.0025001958,0.02692393,-0.23229972,-0.040880736,-0.16797882,0.037091438,0.10986252,0.088489644,-0.010414605,-0.13247262,0.097510174,-0.17799343,-0.034970935,-0.0011000703,-0.012991417,-0.014406153,0.01727067,-0.09115957,-0.05242137,-0.00017958705,0.13914588,-0.13364631,-0.08284695,-0.14754578,-0.19097778,0.20291562,-0.22684193,0.0173176,0.008362471,-0.07146669,-0.14414114,-0.080160946,0.038285125,0.07377045,-0.029755171,0.1917737,-0.17842336,-0.010765945,-0.0040189633,-0.07524219,0.15348276,0.16254063,0.23350993,-0.05295167,0.011061691,0.09024024,0.1506804,-0.054845046,-0.04985064,-0.100106776,0.058089014,0.09069069,-0.05726284,-0.03285806,-0.03673218,-0.035731208,-0.04394334,0.038396496,-0.036850184,0.14642197,0.04768088,-0.053709522,0.0742473,0.033859607,0.034045126,-0.141929,0.20273328,0.011601203,0.11234142,0.061252315,0.05924822,0.09056896,0.13118936,0.26877445,-0.003879419,0.057023533,0.021571273,-0.005088382,-0.038704034,0.12624529,0.047941506,0.073964186,-0.12206635,0.021218698,-0.1660411
air,-0.14031912,-0.0008094444,0.053513594,0.017461436,0.027416999,-0.2268371,0.0958575,0.012368517,-0.22827639,0.22460708,0.13283935,0.18739368,-0.06673992,0.12727804,0.102459796,-0.013601181,-0.24418883,0.16543812,-0.10538786,-0.15221567,-0.09935755,-0.13550311,0.106676914,-0.13167116,-0.13180616,-0.1362116,0.051409,0.14712638,-0.21220873,-0.25017592,0.00056659064,-0.0732633,0.118596524,0.10867446,-0.003963311,-0.0043646675,0.24565774,0.20641495,-0.26011539,-0.09709817,0.1379622,-0.0929897,0.1227368,0.13011967,-0.015209994,0.094719045,-0.031405,-0.24042563,0.107671194,0.18777315,-0.02976752,0.23201662,-0.3011663,-0.19759484,-0.16136442,0.0063692415,0.012711812,-0.08364443,-0.17762874,0.0026940939,-0.012288095,-0.12648176,0.0448237,-0.07452806,0.09939229,0.01831535,0.03152512,0.10125644,-0.058085397,0.087977745,0.045185428,0.051929325,-0.028855434,0.28664404,0.15004069,-0.10781201,0.29591525,-0.12960365,-0.15710562,0.23363414,-0.029823361,0.0985657,-0.15271062,0.24874058,-0.112133704,0.01957396,-0.21483104,0.12967715,0.06954065,0.03466611,0.048390087,0.1597543,0.17698838,0.059376337,0.23049547,0.22592181,0.124143586,-0.06867333,0.045117535,0.1479784,-0.091986276,0.006791078,-0.053859506,0.021026716,-0.05850254,-0.1727773,0.10893687,0.18648212,0.09520111,-0.4035497,0.12731034,0.029554902,0.01844042,0.075550415,-0.021479843,-0.00080239185,0.014522438,-0.10248462,-0.270199,0.0611515,0.05530696,0.1430881,0.17058139,-0.18786056,0.050828047,-0.1023796,-0.08201087,-0.12161638,-0.19091761,-0.024241699,0.047752187,0.05477114,-0.035748612,-0.1547089,0.08030515,0.10307802,0.017511886,-0.11125207,-0.18833935,0.011170639,0.20383494,0.009523102,-0.102644645,0.06672239,-0.20046109,-0.22338992,0.0261002,0.0401532,0.078957655,0.197997,0.17570001,-0.20029293,0.00026806217,0.14991876,-0.17878537,0.34143418,0.0474882,0.15275803,-0.13689713,0.08774532,-0.1293191,0.29932776,-0.13748059,-0.0842873,-0.2676867,0.040154397,0.26209104,-0.060244426,0.24095418,0.1335342,0.0014987993,-0.052039526,0.05490314,-0.085025646,-0.10910329,-0.1093374,-0.12212393,-0.101718426,0.07296033,0.09904304,-0.18756796,0.10403017,0.04864907,-0.034301214,0.1462096,0.03231409,-0.28192687,0.14343067,0.3100321,-0.06132923,-0.0045508374,-0.23873672,-0.09483301,-0.35308614,0.075363554,-0.039835732,0.019428335,-0.35307455,-0.08981536,-0.0481964
all,0.122081615,-0.07865194,-0.08959286,0.027249992,0.15552971,-0.037438724,-0.044008583,0.35867995,-0.043390773,0.045916386,-0.1715268,-0.22931682,0.09627942,0.12712814,-0.20941581,-0.22028285,0.075658575,-0.004312053,0.058134943,-0.2816464,0.06651269,-0.077386536,0.038327925,-0.018975496,0.14656118,-0.07781074,0.038315494,-0.16484107,-0.034399517,0.049019225,0.15721236,0.083742574,0.03214949,-0.074111454,-0.02867416,0.18628246,0.023829024,-0.17445363,-0.07044088,-0.18242384,-0.22821689,0.11466218,-0.06662471,0.015314813,0.26302588,0.0622448,-0.108758874,0.08693621,0.06804302,0.02567235,0.10880124,-0.22604947,-0.10074799,0.0069801756,0.049242493,-0.08960909,0.013891419,-0.12159083,-0.08515498,-0.05640514,-0.008715004,-0.035165098,-0.080571465,-0.0024408873,-0.33056194,0.04801469,-0.11164897,0.27485725,-0.13396949,0.16464806,0.09543633,0.11296143,0.22045697,-0.117695525,-0.022738643,0.035109337,0.14543304,-0.18050094,-0.15861489,-0.015498951,-0.12537642,-0.05171141,-0.108415484,0.28376234,-0.10568372,-0.024262972,0.094461635,0.15226255,0.021161485,-0.0021506685,0.025103716,0.1981748,0.18760735,0.17562622,0.2909374,0.15753376,0.055244252,-0.14718956,0.17944002,-0.0027432374,-0.21467586,0.28967604,0.25624862,-0.111718826,-0.10580717,-0.10613443,0.10967613,0.18956034,-0.09824215,-0.20934282,0.033707786,-0.15632795,0.064485,-0.20416428,0.116437726,0.034438882,0.08796912,-0.33178622,0.057003092,-0.16465609,0.014123177,0.15535504,0.0615326,0.04851421,-0.17517096,0.17691924,-0.17889532,-0.0070942948,0.08013375,-0.056688245,0.026104992,0.005977666,-0.07774454,-0.039271172,-0.109814174,0.07899149,-0.1363694,-0.16327974,-0.12849925,-0.3422995,0.14818805,-0.29697865,0.036417536,-0.042564344,-0.07332519,-0.12964381,-0.10506477,0.09920706,0.035271373,-0.058226038,0.16457833,-0.18362069,-0.0039258436,0.0027308487,-0.13743329,0.11293926,0.21844263,0.23864272,-0.055832487,0.022643458,0.22092205,0.12056109,-0.055431705,-0.062238712,-0.06544449,0.094652705,0.057886396,-0.13041775,-0.15217881,-0.055508792,-0.13844027,0.06468412,0.008406618,-0.0467444,0.23686011,0.089927465,-0.096900806,0.11759904,0.016639274,-0.0038605165,-0.102951154,0.18425977,0.0024858476,0.18459812,0.079241425,0.124909244,0.10812349,0.11620297,0.29678306,0.051848296,0.09626144,0.06244995,-0.022965286,0.043882146,0.1215734,0.09286967,0.06543931,-0.06929577,0.07381555,-0.17643417
alone,0.006481638,-0.024274463,0.012182014,0.042069122,0.14356199,-0.1344829,-7.373972e-05,0.19667311,-0.13842566,0.1997138,-0.057714228,-0.015367427,-0.012236765,0.13323571,-0.025098706,-0.12745439,-0.10337033,0.077637315,-0.045117814,-0.2173338,-0.008427333,-0.15362687,0.07564987,-0.079338335,-0.010761399,-0.14749902,0.0576984,0.019924235,-0.12972695,-0.07112208,0.09634352,-0.030915946,0.058311168,0.042169586,-0.018116891,0.042001054,0.1583902,0.0045692236,-0.11427504,-0.1024885,-0.050276343,0.016901998,0.005137761,0.09845994,0.113243155,0.08131629,-0.08190563,-0.08058961,0.089287266,0.098378785,0.039700847,0.050056294,-0.1678798,-0.082578115,-0.048526436,-0.028157422,0.024595346,-0.06939294,-0.1518848,-0.02680565,-0.010361668,-0.10978312,-0.011008626,-0.04954717,-0.0767057,-0.004614437,0.031216254,0.20141502,-0.10540379,0.1188122,0.030190147,0.03462864,0.11667091,0.066986345,0.051823612,-0.042860385,0.17918953,-0.14487599,-0.13576604,0.08697264,-0.040015865,-0.0013354312,-0.14595136,0.2817839,-0.09854463,-0.020957734,-0.06921111,0.14993027,0.082868196,-0.03554397,0.04154509,0.19728883,0.1272961,0.072916515,0.23637216,0.1570685,0.07952917,-0.06697968,0.09619315,0.04532173,-0.1573814,0.15265958,0.07115997,-0.057649203,-0.05560824,-0.13542552,0.07526475,0.1609494,0.009653971,-0.27680787,0.09290438,-0.08756807,0.040543605,-0.032962292,0.030981533,0.010295819,0.042226236,-0.17720528,-0.1110932,-0.038250517,0.052576125,0.16173011,0.078098044,-0.07784999,-0.043262415,-0.0033083889,-0.06337566,-0.077713095,-0.04729149,-0.011974503,0.048900276,0.012663491,-0.05612305,-0.11165889,-0.011911511,0.057657227,-0.015821628,-0.114549436,-0.10720045,-0.13999228,0.15177642,-0.16437678,-0.014112359,-0.00082334,-0.08437964,-0.12800112,-0.01272969,0.07695957,-0.0053919978,0.07994687,0.09031859,-0.17371356,-0.024849527,0.11260737,-0.15726648,0.20023054,0.10802746,0.10801888,-0.098132476,0.05720726,0.057739396,0.19950803,-0.06209138,-0.08069379,-0.13129927,0.038888305,0.14960544,-0.07903502,0.042309653,0.061334673,-0.055643387,0.012894317,0.014889422,-0.04551644,0.041372366,0.0015799887,-0.14725716,0.011786317,0.05737569,0.0280924,-0.06866693,0.10498411,-0.016431062,0.07849937,0.105933316,0.08910568,-0.135471,0.1378897,0.2550728,0.008772007,0.055465207,-0.09976333,-0.03780853,-0.13707125,0.06307355,0.0067301686,0.077086955,-0.20506199,0.039356023,-0.107576065
aloud,0.032196514,-0.059807803,-0.030468034,0.027265627,0.17316005,-0.12547536,-0.043048996,0.30661905,-0.10270011,0.14733972,-0.09943258,-0.11349723,0.015781548,0.15303053,-0.12356301,-0.18124698,-0.043929692,0.04123853,-0.015854917,-0.25821316,0.007314936,-0.14091404,0.07505056,-0.05980617,0.037144415,-0.11043101,0.058363937,-0.035384294,-0.09570155,-0.01857037,0.1386303,0.026410189,0.047515012,0.0012780105,-0.042239908,0.061738618,0.09529177,-0.051887374,-0.06767317,-0.12911427,-0.09722177,0.041943386,-0.016070262,0.05518503,0.16648632,0.0882362,-0.06988021,-0.0109651815,0.09229353,0.08264454,0.062757775,-0.031252325,-0.15765278,-0.04707607,-0.017692527,-0.05739796,0.0137445005,-0.077716246,-0.14307708,-0.031940084,-0.03892045,-0.089929916,-0.04534867,-0.02787739,-0.18045612,0.023884114,0.009439198,0.24737212,-0.122748084,0.14508715,0.06403371,0.08675297,0.16556937,-0.0024740412,0.041597098,-0.012115886,0.17621939,-0.16866618,-0.14079699,0.045540787,-0.053189814,-0.023506714,-0.13882734,0.27684882,-0.08014255,-0.02066774,-0.012050018,0.102641344,0.06821801,-0.015028977,0.04180103,0.19990923,0.12598005,0.11662103,0.25719357,0.15426828,0.07438925,-0.068488576,0.13576484,0.017194856,-0.1958738,0.21069941,0.13799472,-0.09111991,-0.06775577,-0.11350017,0.07645488,0.16464369,-0.007242674,-0.23347354,0.07087889,-0.09424629,0.034640744,-0.10374401,0.082222044,0.012360449,0.04737422,-0.212963,-0.06678499,-0.11009806,0.050840512,0.13742621,0.0716653,-0.042048458,-0.06563995,0.05487241,-0.113880776,-0.05670542,0.017159477,-0.005655824,0.013300693,0.024222353,-0.07309682,-0.06926025,-0.012281186,0.0811056,-0.077434376,-0.09510266,-0.10679375,-0.21950926,0.14624126,-0.2218147,0.029007904,-0.005158573,-0.084907435,-0.11938277,-0.050588593,0.08360759,0.00943885,0.024582611,0.11547492,-0.17896345,-0.036424477,0.07795716,-0.12863417,0.17076513,0.1301475,0.13849401,-0.08123539,0.024073666,0.13143326,0.17275847,-0.048574135,-0.056720395,-0.089551106,0.03829325,0.113886,-0.09766537,-0.043746777,0.027920293,-0.07441033,0.005600711,0.00034106986,-0.055820834,0.10450785,0.023420341,-0.10445596,0.081198856,0.043420617,0.013702185,-0.078310706,0.14454389,-0.03319622,0.11709768,0.082039505,0.075427376,-0.012775526,0.14306869,0.27597523,0.021845056,0.07586199,-0.03304888,-0.035069987,-0.07406842,0.0847984,0.061121836,0.086126015,-0.1502767,0.057028733,-0.1440456
am,0.23021619,0.07133917,-0.019293249,0.1646066,0.2288437,-0.026866592,0.0077846567,0.3506458,-0.20131512,0.14883794,-0.2926352,-0.24702053,0.13419962,0.19939864,-0.16624364,-0.21421462,0.046845306,-0.027837751,0.038342744,-0.3067464,0.063743174,-0.19441198,0.033179607,-0.0013089414,0.15657614,-0.17863755,0.030763345,-0.105606906,0.042893544,0.14300144,0.14096583,0.11180662,4.6960948e-05,0.046355866,0.06360947,0.2807704,0.058952224,-0.23911054,-0.07721639,-0.11771906,-0.30298185,0.29557648,-0.16433875,0.1442875,0.28246248,0.067554034,-0.19605404,0.10828403,-0.009867603,-0.059077937,0.18600999,-0.2764426,-0.03962395,-0.02858249,0.08781881,-0.12019901,0.0010371278,-0.08228687,-0.06742472,-0.097225696,0.036834333,-0.061475825,-0.124083206,-0.06937914,-0.3146085,-0.040087935,-0.0029629692,0.3050584,-0.19597419,0.19878946,-0.043029323,0.036607265,0.20002767,-0.19644673,-0.09149306,0.046347868,-0.045391437,-0.25194636,-0.104395136,0.07824488,-0.1406664,-0.049999807,-0.034971613,0.3738546,-0.099476784,-0.05807736,0.18223354,0.34923702,0.07585611,-0.18570645,-0.05008638,0.2600716,0.11321928,0.09850043,0.328653,0.1598729,0.1004218,-0.11378897,0.17079568,0.0048097577,-0.31999704,0.2603509,0.2624733,-0.14729284,-0.21025541,-0.14115572,-0.01995862,0.13215767,-0.11493817,-0.20923929,0.014935727,-0.32390362,0.023580475,-0.19249511,0.030726986,0.03695032,0.22798376,-0.36288872,0.16548991,-0.05412294,0.047117036,0.1451902,-0.03315592,0.14019011,-0.20326062,0.19496897,-0.07605722,0.047252014,0.1465655,-0.1903595,0.23303986,-0.04959374,-0.062221933,-0.10802232,-0.2464669,-0.101380885,-0.0043112757,-0.20311084,-0.09063224,-0.41385645,0.059605096,-0.34196976,0.03084961,-0.1668164,-0.005896868,-0.1668126,-0.08655825,0.24639952,0.011836701,0.032271735,0.08419978,-0.2036903,-0.061495002,0.16259317,-0.30792317,0.076561786,0.28423032,0.031664252,-0.039119795,0.10278526,0.30762297,0.12166894,0.04009093,-0.09909818,0.0022614857,0.1115573,0.03216705,-0.20164031,-0.24253204,-0.032026965,-0.24914251,0.2613843,0.01591129,-0.06598163,0.27103865,0.11527136,-0.17568788,0.122015685,-0.021333925,-0.05339433,0.02597627,0.06373437,-0.10399464,0.31078842,0.14568473,0.1991475,-0.04860068,0.20323671,0.2488724,0.10623228,0.0062779645,0.09616942,-0.059262954,0.060955256,0.05727478,0.06278382,0.2038953,-0.040199034,0.201432,-0.14787062
